t,x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
123,-3.0325,1.3881,-0.6101,-1.3349,0.8540,-0.2283,0.8721,-3.4319,2.4273,-1.5389,0.5936,-2.1418
124,-3.9766,1.4080,-0.5175,-1.5773,0.8939,-0.2802,0.8435,-3.9766,2.4273,-1.5389,0.5936,-2.1418
125,-2.9305,1.5812,-0.2757,-1.7492,0.9203,-0.3237,0.8435,-3.9766,2.4273,-1.5389,0.4260,-2.1418
126,-1.7316,2.1050,0.4776,-1.6868,0.9522,-0.2461,0.8435,-3.9766,2.4273,-1.5389,0.4776,-2.1418
127,-1.1835,1.4490,0.4477,-1.5743,0.9785,-0.1945,0.8435,-3.9766,2.4273,-1.5389,0.4776,-2.1418
128,-0.7925,1.0067,0.4559,-1.4543,0.9735,-0.1403,0.8435,-3.9766,2.4273,-1.5389,0.4776,-2.1418
129,-0.7696,1.0983,0.4266,-1.3387,0.9622,-0.0797,0.8435,-3.9766,2.4273,-1.5389,0.4776,-2.1418
130,-0.6550,1.1283,0.1868,-1.2343,0.9383,-0.0622,0.8435,-3.9766,2.4273,-1.5389,0.4776,-2.1418
131,-0.4443,1.0056,0.0381,-1.1703,0.8673,-0.0779,0.8435,-3.9766,2.1050,-1.5389,0.4776,-2.1418
132,0.0703,0.4760,0.0935,-1.0943,0.8352,-0.0818,0.8435,-3.9766,2.1050,-1.5389,0.4776,-2.1418
133,0.4146,0.1607,0.1203,-1.0047,0.7992,-0.0838,0.8435,-3.9766,2.1050,-1.5389,0.4776,-2.1418
134,0.7429,-0.7590,-0.0405,-0.9087,0.7194,-0.0924,0.8435,-3.9766,2.1050,-1.5389,0.4776,-2.1418
135,0.7402,-1.0283,-0.1369,-0.8440,0.6230,-0.1072,0.8435,-3.9766,2.1050,-1.5389,0.4776,-2.1418
136,-0.5567,-0.5523,-0.7967,-0.8663,0.5539,-0.1613,0.8435,-3.9766,2.1050,-1.5389,0.4776,-2.1418
137,-1.2262,-0.1802,-1.0125,-0.9698,0.5628,-0.2219,0.7429,-3.9766,2.1050,-1.5389,0.4776,-2.1418
138,-1.3598,-0.0628,-1.0586,-1.0321,0.5429,-0.2509,0.7429,-3.9766,2.1050,-1.5389,0.4776,-2.1418
139,-1.7530,-1.4556,-1.5644,-1.0277,0.4442,-0.2540,0.7429,-3.9766,2.1050,-1.5389,0.4776,-2.1418
140,-1.2191,-2.1325,-1.0753,-1.0294,0.4145,-0.2006,0.7429,-3.9766,2.1050,-2.1325,0.4776,-1.5644
141,-0.4029,0.1918,0.4802,-1.0620,0.4010,-0.1968,0.7429,-3.9766,2.1050,-2.1325,0.4802,-1.5644
142,-1.3247,1.7879,1.1820,-1.0695,0.4308,-0.1590,0.7429,-3.9766,2.1050,-2.1325,1.1820,-1.5644
143,-2.3551,1.3035,0.4527,-1.0357,0.4266,-0.1058,0.7429,-3.9766,2.1050,-2.1325,1.1820,-1.5644
144,-4.0002,0.9904,-0.4460,-1.0368,0.4057,-0.1023,0.7429,-4.0002,2.1050,-2.1325,1.1820,-1.5644
145,-4.0002,1.6842,-0.6491,-1.0903,0.4108,-0.1209,0.7429,-4.0002,2.1050,-2.1325,1.1820,-1.5644
146,-4.0002,1.9874,-0.6032,-1.2037,0.4050,-0.1750,0.7429,-4.0002,1.9874,-2.1325,1.1820,-1.5644
147,-2.1651,1.5473,0.5023,-1.2528,0.4099,-0.1722,0.7429,-4.0002,1.9874,-2.1325,1.1820,-1.5644
148,-2.0914,1.5309,0.3219,-1.3178,0.4361,-0.1789,0.7429,-4.0002,1.9874,-2.1325,1.1820,-1.5644
149,-1.2240,0.8915,0.0744,-1.3405,0.4257,-0.1966,0.7429,-4.0002,1.9874,-2.1325,1.1820,-1.5644
150,0.0790,0.1914,0.4415,-1.3038,0.3789,-0.1838,0.7429,-4.0002,1.9874,-2.1325,1.1820,-1.5644
151,0.9828,-0.6523,0.3991,-1.2324,0.2960,-0.1658,0.9828,-4.0002,1.9874,-2.1325,1.1820,-1.5644
152,1.5644,-1.3861,0.1639,-1.1577,0.2029,-0.1622,1.5644,-4.0002,1.9874,-2.1325,1.1820,-1.5644
153,0.1391,-0.9353,-0.4062,-1.1715,0.1481,-0.1886,1.5644,-4.0002,1.9874,-2.1325,1.1820,-1.5644
154,-0.9344,-3.2439,-1.5115,-1.2554,0.0238,-0.2621,1.5644,-4.0002,1.9874,-3.2439,1.1820,-1.5644
155,-1.1720,-1.4022,-0.2132,-1.3510,0.0052,-0.2659,1.5644,-4.0002,1.9874,-3.2439,1.1820,-1.5644
156,-1.8409,0.7773,0.6571,-1.4152,0.0716,-0.1932,1.5644,-4.0002,1.9874,-3.2439,1.1820,-1.5644
157,-2.7174,1.2864,0.3442,-1.4898,0.1450,-0.1254,1.5644,-4.0002,1.9874,-3.2439,1.1820,-1.5644
158,-3.1465,1.3844,0.0103,-1.5791,0.2173,-0.0720,1.5644,-4.0002,1.9874,-3.2439,1.1820,-1.5644
159,-3.9672,1.2399,-1.0641,-1.6898,0.3521,-0.0469,1.5644,-4.0002,1.9874,-3.2439,1.1820,-1.5115
160,-3.9672,1.2308,-1.3717,-1.8272,0.5203,-0.0618,1.5644,-4.0002,1.9874,-3.2439,1.1820,-1.5115
161,-4.0002,0.7971,-0.7628,-2.0071,0.5505,-0.1239,1.5644,-4.0002,1.9874,-3.2439,1.1820,-1.5115
162,-4.0002,0.3935,-1.0283,-2.1408,0.4808,-0.2344,1.5644,-4.0002,1.9874,-3.2439,0.6571,-1.5115
163,-3.6136,1.7377,0.0294,-2.2038,0.5025,-0.2556,1.5644,-4.0002,1.9874,-3.2439,0.6571,-1.5115
164,-3.0081,1.7984,0.2126,-2.1542,0.5429,-0.2227,1.5644,-4.0002,1.9874,-3.2439,0.6571,-1.5115
165,-1.9820,0.9797,0.3314,-2.0533,0.5077,-0.1736,1.5644,-4.0002,1.9874,-3.2439,0.6571,-1.5115
166,-1.4077,0.9738,0.3825,-1.9236,0.4570,-0.1244,1.5644,-4.0002,1.7984,-3.2439,0.6571,-1.5115
167,-0.8707,0.6271,0.1584,-1.8589,0.4110,-0.1416,1.5644,-4.0002,1.7984,-3.2439,0.6571,-1.5115
168,0.2812,0.5641,0.1551,-1.7403,0.3627,-0.1499,1.5644,-4.0002,1.7984,-3.2439,0.6571,-1.5115
169,1.5628,-0.6334,0.4580,-1.6009,0.2864,-0.1307,1.5644,-4.0002,1.7984,-3.2439,0.6571,-1.5115
170,-1.5138,-1.1721,-1.2903,-1.6806,0.2182,-0.2173,1.5644,-4.0002,1.7984,-3.2439,0.6571,-1.5115
171,-0.7943,-2.4880,-2.0455,-1.7694,0.1265,-0.3395,1.5644,-4.0002,1.7984,-3.2439,0.6571,-2.0455
172,-0.1960,0.0688,0.1207,-1.8575,0.1992,-0.3417,1.5628,-4.0002,1.7984,-3.2439,0.6571,-2.0455
173,-1.5656,0.5117,-0.4111,-1.9427,0.2716,-0.3419,1.5628,-4.0002,1.7984,-3.2439,0.6571,-2.0455
174,-2.2972,0.3991,-0.7273,-2.0108,0.4537,-0.3027,1.5628,-4.0002,1.7984,-2.4880,0.6571,-2.0455
175,-3.2146,1.0829,-0.8632,-2.1130,0.5780,-0.3352,1.5628,-4.0002,1.7984,-2.4880,0.6571,-2.0455
176,-3.3589,1.1627,-0.9073,-2.1889,0.5972,-0.4134,1.5628,-4.0002,1.7984,-2.4880,0.4580,-2.0455
177,-2.2243,1.8935,-0.3603,-2.1642,0.6276,-0.4487,1.5628,-4.0002,1.8935,-2.4880,0.4580,-2.0455
178,-2.1662,1.8661,-0.1892,-2.1152,0.6517,-0.4587,1.5628,-4.0002,1.8935,-2.4880,0.4580,-2.0455
179,-2.0419,1.8990,-0.0418,-2.0189,0.6846,-0.4075,1.5628,-4.0002,1.8990,-2.4880,0.4580,-2.0455
180,-1.0553,2.3088,0.5965,-1.8733,0.7385,-0.3091,1.5628,-4.0002,2.3088,-2.4880,0.5965,-2.0455
181,-0.6533,1.5989,0.3462,-1.7060,0.7786,-0.2537,1.5628,-4.0002,2.3088,-2.4880,0.5965,-2.0455
182,-0.1481,2.2628,0.1558,-1.5134,0.8721,-0.1945,1.5628,-3.6136,2.3088,-2.4880,0.5965,-2.0455
183,0.0185,1.9455,0.1066,-1.3318,0.8825,-0.1906,1.5628,-3.3589,2.3088,-2.4880,0.5965,-2.0455
184,0.3713,1.2992,0.2943,-1.1628,0.8575,-0.1865,1.5628,-3.3589,2.3088,-2.4880,0.5965,-2.0455
185,0.6172,0.1495,0.1281,-1.0328,0.8160,-0.1967,1.5628,-3.3589,2.3088,-2.4880,0.5965,-2.0455
186,0.1655,-0.7075,0.0755,-0.9542,0.7319,-0.2120,1.5628,-3.3589,2.3088,-2.4880,0.5965,-2.0455
187,-0.1781,-1.0353,-1.1869,-0.9196,0.6488,-0.2793,1.5628,-3.3589,2.3088,-2.4880,0.5965,-2.0455
188,-0.2404,-1.2179,-0.2828,-0.9456,0.5597,-0.3012,1.5628,-3.3589,2.3088,-2.4880,0.5965,-2.0455
189,-1.9544,0.0479,-0.1026,-1.1215,0.5938,-0.3292,0.6172,-3.3589,2.3088,-2.4880,0.5965,-2.0455
190,-2.2236,0.1690,-0.2688,-1.1570,0.6608,-0.2782,0.6172,-3.3589,2.3088,-2.4880,0.5965,-2.0455
191,-2.9009,0.8380,-0.3055,-1.2623,0.8271,-0.1912,0.6172,-3.3589,2.3088,-1.2179,0.5965,-1.1869
192,-3.1411,1.1428,-0.3892,-1.4096,0.8808,-0.2167,0.6172,-3.3589,2.3088,-1.2179,0.5965,-1.1869
193,-3.4716,1.8038,-0.5465,-1.5049,0.9454,-0.2234,0.6172,-3.4716,2.3088,-1.2179,0.5965,-1.1869
194,-1.9286,2.4471,0.3521,-1.4864,1.0478,-0.1694,0.6172,-3.4716,2.4471,-1.2179,0.5965,-1.1869
195,-1.4981,1.1552,0.3348,-1.4006,1.0515,-0.1096,0.6172,-3.4716,2.4471,-1.2179,0.5965,-1.1869
196,-1.3904,1.1222,0.3123,-1.3022,1.0494,-0.0486,0.6172,-3.4716,2.4471,-1.2179,0.5965,-1.1869
197,-1.0503,1.3306,0.2558,-1.2435,1.0213,-0.0178,0.6172,-3.4716,2.4471,-1.2179,0.5965,-1.1869
198,-0.4483,1.3578,0.2010,-1.1576,0.9959,0.0017,0.6172,-3.4716,2.4471,-1.2179,0.5965,-1.1869
199,0.7867,0.4235,0.3411,-1.0162,0.9221,0.0209,0.7867,-3.4716,2.4471,-1.2179,0.5965,-1.1869
200,0.5797,-0.1182,0.0502,-0.9344,0.8007,-0.0064,0.7867,-3.4716,2.4471,-1.2179,0.3521,-1.1869
