x,y,z,x avg,y avg,z avg,x max,x min,y max,y min,z max,z min
-0.0207,0.8468,-0.3604,-0.0002,0.0085,0.0085,0.0000,-0.0207,0.8468,0.0000,0.8468,-0.3604
-0.0502,0.9327,-0.3139,-0.0005,0.0093,0.0093,0.0000,-0.0502,0.9327,0.0000,0.9327,0.0000
-0.1253,1.0330,-0.2586,-0.0013,0.0103,0.0103,0.0000,-0.1253,1.0330,0.0000,1.0330,-0.2586
-0.1448,1.0090,-0.2796,-0.0014,0.0101,0.0101,0.0000,-0.1448,1.0090,0.0000,1.0090,-0.2796
-0.1353,0.9724,-0.2876,-0.0014,0.0097,0.0097,0.0000,0.0000,0.9724,0.0000,0.9724,-0.2876
-0.1335,0.9593,-0.2619,-0.0013,0.0096,0.0096,0.0000,-0.1335,0.9593,0.0000,0.9593,0.0000
-0.1334,0.9578,-0.2586,-0.0013,0.0096,0.0096,0.0000,0.0000,0.9578,0.0000,0.9578,-0.2586
-0.1348,0.9512,-0.2575,-0.0013,0.0095,0.0095,0.0000,-0.1348,0.9512,0.0000,0.9512,0.0000
-0.1552,1.0501,-0.1839,-0.0016,0.0105,0.0105,0.0000,-0.1552,1.0501,0.0000,1.0501,-0.1839
-0.1597,1.0284,-0.2092,-0.0016,0.0103,0.0103,0.0000,-0.1597,1.0284,0.0000,1.0284,-0.2092
-0.1815,0.9973,-0.2323,-0.0018,0.0100,0.0100,0.0000,-0.1815,0.9973,0.0000,0.9973,-0.2323
-0.1866,1.0074,-0.2412,-0.0019,0.0101,0.0101,0.0000,-0.1866,1.0074,0.0000,1.0074,-0.2412
-0.1733,0.9430,-0.2341,-0.0017,0.0094,0.0094,0.0000,0.0000,0.9430,0.0000,0.9430,0.0000
-0.1669,0.8811,-0.2366,-0.0017,0.0088,0.0088,0.0000,-0.1669,0.8811,0.0000,0.8811,-0.2366
-0.1806,0.9547,-0.2115,-0.0018,0.0095,0.0095,0.0000,-0.1806,0.9547,0.0000,0.9547,0.0000
